               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14037,            0.023711,                   0,             0.12508,             0.17023,            0.062826,            0.012468,             0.11319,             0.03183,                   0,              0.0702,           0.0033111,           0.0033111
                   1,             0.10783,            0.028222,                   0,             0.27498,             0.32444,             0.20505,            0.054029,            0.092839,            0.029691,                   0,            0.039871,           0.0063155,           0.0063155
                   2,            0.097297,            0.029709,                   0,              0.3446,             0.41163,              0.3018,            0.079566,            0.082159,            0.029178,                   0,           0.0092122,             0.00899,             0.00899
                   3,            0.088875,             0.02874,                   0,             0.52763,             0.48161,             0.50207,              0.2008,             0.07197,            0.028623,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.083068,            0.029156,                   0,             0.60479,             0.53915,             0.56551,             0.21648,            0.069763,            0.028513,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.078406,            0.028392,                   0,             0.72218,             0.57829,              0.6657,             0.29317,            0.064675,            0.027595,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.075011,            0.027968,                   0,             0.76824,             0.59549,             0.69922,             0.31512,             0.06178,            0.027734,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.073601,            0.028511,                   0,              0.7619,             0.62396,             0.70443,             0.32598,             0.06158,            0.027293,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.071425,            0.028465,                   0,             0.78978,             0.63108,             0.72662,             0.33554,            0.060189,            0.027657,                   0,            0.006535,            0.006535,            0.006535
                   9,             0.07012,            0.027272,                   0,              0.8043,             0.64599,             0.74165,             0.36042,            0.058033,            0.026594,                   0,             0.00604,             0.00604,             0.00604
                  10,             0.06842,            0.027364,                   0,             0.81358,             0.64353,             0.75033,             0.35822,            0.057192,            0.027524,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.067167,            0.027603,                   0,             0.82346,             0.64947,             0.74963,              0.3605,            0.057362,            0.026922,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.065879,            0.027166,                   0,             0.84117,             0.64116,             0.75405,             0.37689,            0.056125,            0.026514,                   0,            0.004555,            0.004555,            0.004555
                  13,             0.06371,            0.027057,                   0,             0.84508,              0.6554,             0.76138,             0.38928,            0.055374,            0.026089,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.062682,            0.026579,                   0,             0.88311,             0.65426,             0.77569,             0.38357,            0.054814,            0.025873,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.062083,            0.026285,                   0,             0.85834,             0.66726,             0.77076,             0.39408,            0.054322,            0.026286,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.062234,            0.027048,                   0,             0.86353,             0.67794,             0.78221,             0.40046,            0.053886,            0.025671,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.061467,            0.026705,                   0,             0.86222,             0.67438,             0.78161,             0.40544,            0.053832,            0.025663,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.060779,             0.02644,                   0,             0.86461,              0.6818,             0.78069,             0.40391,            0.053402,            0.025812,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.061279,            0.026221,                   0,             0.87999,             0.66545,             0.77992,             0.40432,            0.053381,            0.025629,                   0,             0.00109,             0.00109,             0.00109
